Region,Crop,Variety,Rainfall (mm),Temperature (°C),Arrival (Quintals),Min Price (Rs/qtl),Max Price (Rs/qtl),Modal Price (Rs/qtl),Humidity (%),Pesticide Used (litres/ha)
Karnataka,Tomato,Local Red,124.02,30.29,1748.51,842.22,906.08,886.08,64.9,4.58
Uttar Pradesh,Tomato,Local Red,118.98,30.58,2848.25,1268.9,1408.18,1388.18,85.64,4.95
Punjab,Potato,Kufri Jyoti,11.41,27.97,2795.38,1614.05,1711.7,1691.7,83.49,4.65
Tamil Nadu,Wheat,HD-2967,57.27,40.19,926.39,1610.91,1720.29,1700.29,76.36,2.09
Punjab,Maize,Hybrid-1,70.97,26.93,862,1370.98,1489.99,1469.99,75.16,1.41
Punjab,Onion,Nashik Red,52.29,30.94,2339.02,1297.72,1443.76,1423.76,88.9,1.77
Punjab,Tomato,Local Red,45.84,31.16,1901.78,1307.97,1479.14,1459.14,52.49,4.39
Punjab,Rice,Basmati,113.58,37.74,912.15,1517.26,1614.2,1594.2,66.96,1.02
Bihar,Onion,Nashik Red,68.54,25.88,2199.7,1629.88,1707.54,1687.54,75.05,1.89
Karnataka,Wheat,HD-2967,133.56,39.58,801.89,1504.52,1640.74,1620.74,66.35,4.26
Uttar Pradesh,Potato,Kufri Jyoti,122.92,26.08,2375.49,878.37,1062.92,1042.92,81.29,4.67
Bihar,Rice,Basmati,132.05,27.06,711.67,1541.18,1722.8,1702.8,74.17,3.53
Karnataka,Rice,Basmati,131.83,31.63,1026.93,1558.37,1688.31,1668.31,87.78,4.6
Karnataka,Rice,Basmati,64.2,39.18,706.72,1207.31,1388.99,1368.99,89.12,4.17
Tamil Nadu,Onion,Nashik Red,127.12,31.69,2627.43,840.78,1016.51,996.51,69.99,2.58
Punjab,Tomato,Local Red,114.31,29.91,2971.25,1379.19,1578.06,1558.06,60.46,4.91
Tamil Nadu,Wheat,HD-2967,137.13,37.58,485.88,1753.92,1986.11,1966.11,62.5,4.67
Karnataka,Potato,Kufri Jyoti,46.94,35.12,2338.48,999.61,1200.02,1180.02,83.19,3.15
Karnataka,Wheat,HD-2967,99.28,39.1,824.21,1700.26,1888.07,1868.07,42.68,4.9
Bihar,Rice,Basmati,12.38,25.46,732.5,1429.86,1655.72,1635.72,45.28,4.31
Punjab,Maize,Hybrid-1,127.81,25.09,852.31,1204.16,1346.12,1326.12,39.1,4.24
Bihar,Rice,Basmati,134.7,32.15,406.39,1284.78,1351.67,1331.67,65.25,2.5
Tamil Nadu,Wheat,HD-2967,121.57,38.83,533.1,1043.14,1130.08,1110.08,62.66,3.04
Bihar,Rice,Basmati,5.39,35.88,1048.06,856.62,936.97,916.97,54.88,2.4
Maharashtra,Wheat,HD-2967,15.94,29.18,825.08,850.57,1047.54,1027.54,70.9,2.99
Maharashtra,Onion,Nashik Red,23.14,25.23,2915.63,1721.24,1776.29,1756.29,70.3,1.56
Punjab,Maize,Hybrid-1,99.57,32.8,543.17,1036.04,1132.24,1112.24,72.63,2.13
Uttar Pradesh,Maize,Hybrid-1,130.26,26.99,483.52,1503.62,1634.15,1614.15,71.53,4.12
Karnataka,Onion,Nashik Red,58.86,27.82,2784.02,1183.37,1353.34,1333.34,45.3,3.67
Maharashtra,Potato,Kufri Jyoti,7.05,31.21,2752.59,1563.95,1647.97,1627.97,85.96,4.5
Maharashtra,Rice,Basmati,81.96,38.14,551.27,1743.08,1876.15,1856.15,46.13,1.86
Bihar,Wheat,HD-2967,129.91,27.24,597.49,997.58,1121.55,1101.55,46.51,2.63
Karnataka,Rice,Basmati,130.49,31.73,760.94,873.64,971.23,951.23,44.05,5
Maharashtra,Wheat,HD-2967,73.51,30.41,557.12,1605.31,1682.3,1662.3,76.26,1.29
Tamil Nadu,Potato,Kufri Jyoti,123.54,28.03,2026.56,1146.78,1319.86,1299.86,90.75,3.23
Uttar Pradesh,Rice,Basmati,72,32.06,744.97,1004.22,1193.31,1173.31,63.28,3.8
Bihar,Potato,Kufri Jyoti,109.87,29.99,1703.52,1162.12,1254.31,1234.31,46.45,4.47
Maharashtra,Rice,Basmati,133.96,34.92,554.19,1461.47,1521.62,1501.62,46.3,3.01
Punjab,Potato,Kufri Jyoti,17.75,27.19,1671.52,1383.12,1593.18,1573.18,86.55,3.71
Karnataka,Maize,Hybrid-1,121.11,25.32,510.85,1766.27,1858.56,1838.56,80.68,3.78
Punjab,Onion,Nashik Red,13.07,30.12,1578.05,1194.96,1294.44,1274.44,51.77,4.39
Uttar Pradesh,Wheat,HD-2967,106.99,29.2,1005.82,1023.65,1122.05,1102.05,78.95,1.81
Punjab,Potato,Kufri Jyoti,20.26,27.14,1822.52,1395.56,1515.2,1495.2,83.17,3.55
Tamil Nadu,Wheat,HD-2967,22.67,36.25,989.08,904.3,1034.89,1014.89,80.77,4.91
Punjab,Onion,Nashik Red,63.13,27.77,2721.62,1473.86,1603.46,1583.46,64.58,4.4
Punjab,Onion,Nashik Red,81.49,38.07,2039.67,1075.18,1285.54,1265.54,65.8,1.17
Punjab,Wheat,HD-2967,57.95,37.76,371.52,1642.25,1773.71,1753.71,56.62,4.9
Bihar,Maize,Hybrid-1,42.87,25.02,761.41,895.23,1057.2,1037.2,87.05,1.66
Karnataka,Wheat,HD-2967,36.3,33.99,629,1653.88,1736.96,1716.96,76.34,2.33
Karnataka,Rice,Basmati,106.04,25.09,598.85,1727.05,1883.48,1863.48,54.88,1.46
Punjab,Maize,Hybrid-1,60.39,32.35,963.87,1190.24,1320.54,1300.54,39.93,1.3
Karnataka,Onion,Nashik Red,113.93,38.05,2710.98,1196.62,1294.76,1274.76,53.63,4.46
Bihar,Maize,Hybrid-1,89.04,31.86,576.07,1723.93,1943.9,1923.9,80.03,2.58
Karnataka,Rice,Basmati,21.74,36.97,455.18,825.9,1000.4,980.4,46.74,3.96
Bihar,Maize,Hybrid-1,10.6,36.06,610.16,1670.37,1768.16,1748.16,71.02,1.16
Maharashtra,Rice,Basmati,23.52,39.77,555.64,1632.48,1839.13,1819.13,39.61,4.35
Tamil Nadu,Tomato,Local Red,33.38,27.91,2120.56,1494.94,1634.85,1614.85,46.95,1.16
Uttar Pradesh,Potato,Kufri Jyoti,127.49,34.82,1789.84,1624.48,1709.04,1689.04,82.94,3.3
Maharashtra,Maize,Hybrid-1,116.91,36.91,976.34,902.51,1066.92,1046.92,90.67,4.18
Bihar,Wheat,HD-2967,72.68,39.6,926.97,1652.72,1750.81,1730.81,53.31,3.59
Maharashtra,Rice,Basmati,105.62,31.99,652.6,1304.58,1374.66,1354.66,78.86,2.65
Bihar,Onion,Nashik Red,60.08,31.81,2794.63,1626.19,1724.08,1704.08,81.93,4.04
Karnataka,Maize,Hybrid-1,98.2,32.78,703.6,1262.34,1455.13,1435.13,44.57,3.67
Uttar Pradesh,Tomato,Local Red,87.72,24.85,1677.27,860.11,994.21,974.21,83.25,3.41
Punjab,Tomato,Local Red,52.12,38.94,2313.9,1283.81,1459.4,1439.4,47.66,4.38
Punjab,Tomato,Local Red,138.92,40.02,1727.09,809.36,942.8,922.8,70.9,3.43
Punjab,Onion,Nashik Red,4.24,38.03,2546.1,1375.5,1465.17,1445.17,75.22,2.1
Tamil Nadu,Potato,Kufri Jyoti,62.46,34.94,1876.43,1519.71,1747.32,1727.32,86.69,1.91
Karnataka,Rice,Basmati,106.73,34.99,482.29,1788.94,1937.58,1917.58,62.54,2.59
Maharashtra,Tomato,Local Red,13.67,31.93,1817.52,945.97,1165.41,1145.41,57.39,2.55
Tamil Nadu,Onion,Nashik Red,64.75,32.11,1941.81,1621.97,1725.04,1705.04,87.79,1.33
Karnataka,Rice,Basmati,51.52,31.41,519.11,1299.33,1466.69,1446.69,60.34,4.91
Karnataka,Wheat,HD-2967,6.72,40.01,837.81,1137.34,1289.05,1269.05,48.67,3.49
Tamil Nadu,Onion,Nashik Red,27.99,28.97,1577,1018.02,1238.14,1218.14,49.32,2.81
Bihar,Tomato,Local Red,106.39,30.11,1773.31,818.94,1008.31,988.31,57.32,3.15
Uttar Pradesh,Tomato,Local Red,123.72,40.35,1857.35,1694.44,1798.75,1778.75,70.03,4.02
Bihar,Wheat,HD-2967,61.61,36.72,657.7,925.09,1105.47,1085.47,42.51,2.69
Uttar Pradesh,Potato,Kufri Jyoti,97.25,34.05,2386.16,962.95,1187.49,1167.49,44.67,3.96
Bihar,Wheat,HD-2967,26.77,26.93,705.47,1515.12,1654.76,1634.76,89.61,1.84
Uttar Pradesh,Onion,Nashik Red,13.51,26.98,2535.46,1291.34,1398.05,1378.05,76.84,3.39
Punjab,Potato,Kufri Jyoti,81.35,26.71,1930.33,1146.92,1295.23,1275.23,45.31,4.98
Karnataka,Tomato,Local Red,149.89,33.88,1831.14,1490.35,1651.48,1631.48,79.41,2.96
Tamil Nadu,Onion,Nashik Red,47.23,29.96,2156.58,1654.3,1852.39,1832.39,87.35,4.5
Uttar Pradesh,Tomato,Local Red,49.9,28.29,1694.61,803.98,894.33,874.33,74.86,2.37
Punjab,Maize,Hybrid-1,29.68,36.28,421.88,1798.03,1960.52,1940.52,86.39,4.96
Bihar,Onion,Nashik Red,87.91,27.85,1573.94,1028.16,1251.82,1231.82,83.9,1.66
Tamil Nadu,Onion,Nashik Red,112.83,29.82,2446.57,1660.82,1777.54,1757.54,47.14,3.19
Karnataka,Potato,Kufri Jyoti,109.34,31.77,2654.39,1281.26,1425.7,1405.7,42.33,3.8
Bihar,Rice,Basmati,118.35,36.78,564.91,1646.72,1828.9,1808.9,57.37,3.46
Maharashtra,Onion,Nashik Red,65.16,37,2718.15,1642.65,1833.57,1813.57,38.37,4.21
Tamil Nadu,Tomato,Local Red,50.64,36.02,1865.25,1164.55,1257.84,1237.84,52.56,4.51
Karnataka,Rice,Basmati,94,32.07,379.28,1515.17,1694.15,1674.15,49.86,4.13
Punjab,Wheat,HD-2967,14.07,27.86,512.55,1893.87,2033.3,2013.3,48.84,1.46
Maharashtra,Onion,Nashik Red,84.55,32.17,822.19,1008.57,1157.22,1137.22,67.05,4.62
Tamil Nadu,Tomato,Local Red,121.25,34.94,2533.53,914.07,1033.61,1013.61,85.72,4.84
Bihar,Maize,Hybrid-1,56.75,30.13,585.82,1699.08,1831.49,1811.49,75.01,4.34
Karnataka,Potato,Kufri Jyoti,22.5,25.96,2207.52,808.1,889.82,869.82,45.98,1.25
Punjab,Maize,Hybrid-1,55.34,32.63,632.65,1521.2,1748.71,1728.71,44.64,3.01
Maharashtra,Rice,Basmati,32.73,29.83,550.95,1560.99,1633.79,1613.79,43.49,2.2
Bihar,Onion,Nashik Red,133.98,34.03,1613.9,1189.16,1249.14,1229.14,63.18,3.12
Karnataka,Tomato,Local Red,121.8,30.21,1682.45,855.23,892.08,872.08,66.12,4.72
Uttar Pradesh,Tomato,Local Red,118.45,31.04,2833.62,1236.65,1422.2,1402.2,85.6,4.85
Punjab,Potato,Kufri Jyoti,16.3,27.82,2769.84,1635.58,1721.3,1701.3,84.3,4.62
Tamil Nadu,Wheat,HD-2967,57.69,39.78,916.4,1583.16,1718.49,1698.49,75.31,2.13
Punjab,Maize,Hybrid-1,71.69,26.57,782.86,1376.98,1465.71,1445.71,74.22,1.49
Punjab,Onion,Nashik Red,53.32,30.82,2362.27,1296.53,1429.98,1409.98,89.56,1.83
Punjab,Tomato,Local Red,44.8,30.75,1914.19,1316.93,1470.22,1450.22,53.76,4.23
Punjab,Rice,Basmati,119.01,38.13,986.33,1550.44,1604.04,1584.04,65.9,1.19
Bihar,Onion,Nashik Red,70.33,25.91,2288.83,1581.13,1677.17,1657.17,74.72,2
Karnataka,Wheat,HD-2967,135.25,40.01,898.75,1508.39,1570.9,1550.9,66.06,4
Uttar Pradesh,Potato,Kufri Jyoti,124.85,26.01,2405.54,837.81,1072.94,1052.94,79.46,4.6
Bihar,Rice,Basmati,132.61,27.05,732.35,1537.08,1728.31,1708.31,73.87,3.51
Karnataka,Rice,Basmati,127.64,32.19,981.91,1529.9,1691.94,1671.94,87.92,4.73
Karnataka,Rice,Basmati,61.92,39.31,778.22,1185.83,1394.29,1374.29,89.56,4.11
Tamil Nadu,Onion,Nashik Red,120.92,32.1,2576.74,816.56,982.75,962.75,68.54,2.56
Punjab,Tomato,Local Red,122.69,29.69,2863.21,1390.37,1586.09,1566.09,59.44,5.03
Tamil Nadu,Wheat,HD-2967,136.91,37.87,382.3,1751.55,1948.35,1928.35,64.16,4.61
Karnataka,Potato,Kufri Jyoti,45.53,35.23,2273.08,1000.91,1178.87,1158.87,84.03,3.14
Karnataka,Wheat,HD-2967,96.69,38.76,919.49,1691.79,1888.79,1868.79,43.71,4.79
Bihar,Rice,Basmati,8.91,25.02,728.85,1420.53,1627.69,1607.69,44.78,4.34
Punjab,Maize,Hybrid-1,126.8,25.01,934.29,1210.02,1361.04,1341.04,39.68,4.12
Bihar,Rice,Basmati,135.24,32.15,447.53,1251.2,1372.42,1352.42,64.27,2.52
Tamil Nadu,Wheat,HD-2967,120.9,39.53,571.99,1039.03,1144.47,1124.47,63.34,3.02
Bihar,Rice,Basmati,5.95,36.05,998.23,825.78,897.23,877.23,53.48,2.45
Maharashtra,Wheat,HD-2967,21.5,29.27,946.74,858.8,1038.46,1018.46,70.34,2.95
Maharashtra,Onion,Nashik Red,20.41,24.89,2855.75,1726.74,1835.2,1815.2,70.44,1.58
Punjab,Maize,Hybrid-1,99.05,33.33,559.52,1030.16,1128.39,1108.39,71.93,2.25
Uttar Pradesh,Maize,Hybrid-1,129.48,27.03,374.44,1467.77,1626.64,1606.64,71.03,4.25
Karnataka,Onion,Nashik Red,56.88,28.01,2755.25,1184.01,1385.1,1365.1,44.49,3.86
Maharashtra,Potato,Kufri Jyoti,8.04,30.84,2641.13,1574.8,1695.21,1675.21,85.29,4.51
Maharashtra,Rice,Basmati,81.1,38.25,565.87,1742.66,1865.39,1845.39,45.75,1.77
Bihar,Wheat,HD-2967,123.28,26.81,618.11,996.43,1130.92,1110.92,44.75,2.57
Karnataka,Rice,Basmati,132.93,32.13,700.08,869.07,982.67,962.67,45.08,5
Maharashtra,Wheat,HD-2967,71,30.11,593.49,1573.1,1706.89,1686.89,76.57,1.48
Tamil Nadu,Potato,Kufri Jyoti,126.43,27.95,1976.36,1132.59,1327.72,1307.72,88.61,3.38
Uttar Pradesh,Rice,Basmati,74.61,31.79,712.57,989.04,1177.53,1157.53,63.18,3.77
Bihar,Potato,Kufri Jyoti,110.42,30.14,1695.07,1143.08,1257.77,1237.77,45.1,4.45
Maharashtra,Rice,Basmati,130.26,35.25,533.21,1479.69,1523.27,1503.27,46.67,3.1
Punjab,Potato,Kufri Jyoti,16.38,27.66,1541.32,1384.85,1557.84,1537.84,89.32,3.66
Karnataka,Maize,Hybrid-1,126.52,25.86,519.22,1751.04,1875.49,1855.49,78.44,3.77
Punjab,Onion,Nashik Red,12.21,30.05,1705.59,1205.73,1300.47,1280.47,48.8,4.42
Uttar Pradesh,Wheat,HD-2967,101.68,28.54,1000.65,991.81,1163.58,1143.58,78.55,1.94
Punjab,Potato,Kufri Jyoti,18.3,27.12,1768.57,1411.15,1513.41,1493.41,83.29,3.63
Tamil Nadu,Wheat,HD-2967,24.63,35.98,996.79,917.46,1049.23,1029.23,81.84,4.85
Punjab,Onion,Nashik Red,63.97,27.73,2747.58,1466.96,1567.27,1547.27,63.25,4.58
Punjab,Onion,Nashik Red,75.26,38.29,2053.83,1070.46,1267.18,1247.18,65.12,1.22
Punjab,Wheat,HD-2967,56.35,38.39,453.26,1657.03,1740.77,1720.77,55.02,4.89
Bihar,Maize,Hybrid-1,39.17,25.21,705.32,876.52,1039.78,1019.78,85.49,1.78
Karnataka,Wheat,HD-2967,33.06,33.81,511.91,1652.5,1759.46,1739.46,76.78,2.5
Karnataka,Rice,Basmati,108.48,25.05,642.92,1721.89,1902.96,1882.96,56.38,1.49
Punjab,Maize,Hybrid-1,59.15,32.02,872.36,1164.47,1303.7,1283.7,40.91,1.23
Karnataka,Onion,Nashik Red,115.77,37.8,2670.95,1172.93,1323.14,1303.14,53.78,4.39
Bihar,Maize,Hybrid-1,92.74,32.39,569.64,1771.32,1960.24,1940.24,81.73,2.65
Karnataka,Rice,Basmati,23.58,37.11,540.85,845.09,1023.14,1003.14,47.53,4.07
Bihar,Maize,Hybrid-1,7.83,35.98,586.18,1680.51,1781.74,1761.74,71.03,1.08
Maharashtra,Rice,Basmati,25.58,39.7,628.24,1619.78,1829.75,1809.75,41.08,4.29
Tamil Nadu,Tomato,Local Red,31.05,27.78,2176.29,1486.09,1668.54,1648.54,48.72,1.21
Uttar Pradesh,Potato,Kufri Jyoti,126.04,34.51,1763.29,1609.22,1737.59,1717.59,81.39,3.3
Maharashtra,Maize,Hybrid-1,119.01,36.97,1075.58,906.9,1100.11,1080.11,91.3,4.32
Bihar,Wheat,HD-2967,71.01,39.82,967.82,1674.04,1771.97,1751.97,53.82,3.45
Maharashtra,Rice,Basmati,104.73,31.73,631.96,1335.84,1388.77,1368.77,77.77,2.57
Bihar,Onion,Nashik Red,63.56,31.94,2734.07,1616.99,1686.99,1666.99,80.32,3.97
Karnataka,Maize,Hybrid-1,99.86,32.71,680.09,1270.08,1501.91,1481.91,43.59,3.68
Uttar Pradesh,Tomato,Local Red,87.21,24.91,1704.87,825.81,1002.46,982.46,83.23,3.27
Punjab,Tomato,Local Red,48.53,38.68,2394.93,1264.92,1446.95,1426.95,48.97,4.33
Punjab,Tomato,Local Red,141.11,39.84,1755.41,800.98,929.53,909.53,72.77,3.46
Punjab,Onion,Nashik Red,3.79,38.53,2552.76,1305.22,1435.48,1415.48,75.45,2.01
Tamil Nadu,Potato,Kufri Jyoti,64.29,34.9,1847.81,1539.87,1712.34,1692.34,84.91,1.85
Karnataka,Rice,Basmati,106.73,34.79,547.59,1749.45,1957.95,1937.95,63.6,2.72
Maharashtra,Tomato,Local Red,11.47,32.19,1781.25,947.34,1155.14,1135.14,57.91,2.45
Tamil Nadu,Onion,Nashik Red,68.39,32.18,1996.99,1641.89,1717.71,1697.71,89.79,1.33
Karnataka,Rice,Basmati,48.11,30.91,573.12,1342.79,1443.53,1423.53,59.08,4.95
Karnataka,Wheat,HD-2967,6.75,39.72,764.87,1069.84,1281.36,1261.36,47.52,3.56
Tamil Nadu,Onion,Nashik Red,28.59,29.14,1667.4,1040.67,1242.5,1222.5,48.95,2.67
Bihar,Tomato,Local Red,103.39,30.48,1644.34,795.73,1015.85,995.85,56.93,3.15
Uttar Pradesh,Tomato,Local Red,119.15,39.81,1856.55,1662.02,1782.56,1762.56,72.27,4
Bihar,Wheat,HD-2967,66.09,37,549.69,930.67,1099.66,1079.66,42.15,2.76
Uttar Pradesh,Potato,Kufri Jyoti,90.58,33.83,2421.54,976.19,1200.69,1180.69,44.37,4.14
Bihar,Wheat,HD-2967,24.95,27.16,655.01,1503.21,1653.18,1633.18,89.51,1.71
Uttar Pradesh,Onion,Nashik Red,10.6,26.75,2476.25,1313.4,1393.11,1373.11,77.84,3.47
Punjab,Potato,Kufri Jyoti,84.36,27.16,1850.21,1132.46,1298.76,1278.76,47.34,4.84
Karnataka,Tomato,Local Red,147.72,34.16,1870.78,1471.27,1661.69,1641.69,78.32,3
Tamil Nadu,Onion,Nashik Red,41.31,29.8,2126.99,1647.28,1834.26,1814.26,87.99,4.36
Uttar Pradesh,Tomato,Local Red,56.33,28.29,1804.23,818.26,902.25,882.25,74.47,2.21
Punjab,Maize,Hybrid-1,29.31,35.82,430.66,1776.04,1954.39,1934.39,86.57,4.94
Bihar,Onion,Nashik Red,87.48,28.33,1689.29,1027.94,1225.09,1205.09,83.95,1.49
Tamil Nadu,Onion,Nashik Red,115.2,29.91,2482.75,1634.85,1793.1,1773.1,47.01,3.16
Karnataka,Potato,Kufri Jyoti,107.97,32.4,2717.33,1287.37,1431.12,1411.12,40.14,3.83
Bihar,Rice,Basmati,116.97,37.05,585.62,1634.21,1835.64,1815.64,56.69,3.56
Maharashtra,Onion,Nashik Red,68.47,36.92,2645.99,1642.27,1842.26,1822.26,39.6,4.25
Tamil Nadu,Tomato,Local Red,57.32,36.65,1762.63,1150.99,1243.56,1223.56,50.49,4.54
Karnataka,Rice,Basmati,98.03,32.07,381.3,1494.67,1697.7,1677.7,51.37,4.19
Punjab,Wheat,HD-2967,10.31,28.24,528.53,1918.69,2029.24,2009.24,48.71,1.75
Maharashtra,Onion,Nashik Red,88.01,32.29,817.86,1001.86,1179.34,1159.34,64.92,4.64
Tamil Nadu,Tomato,Local Red,121.54,34.55,2533.39,899.69,1002.29,982.29,86.73,4.89
Bihar,Maize,Hybrid-1,59.72,29.56,664.49,1729.43,1809.8,1789.8,74.65,4.39
Karnataka,Potato,Kufri Jyoti,23.18,25.99,2182.37,807.78,915.04,895.04,47.29,1.32
Punjab,Maize,Hybrid-1,50.53,32.93,722.09,1543.47,1740.36,1720.36,44.91,3.12
Maharashtra,Rice,Basmati,38.06,30.07,459.08,1534.2,1637.39,1617.39,44.99,2.16
Bihar,Onion,Nashik Red,131.91,33.77,1622.92,1178.09,1238.53,1218.53,62.27,3.05
Karnataka,Tomato,Local Red,124.04,30.22,1718.5,835.52,871.37,851.37,66.02,4.64
Uttar Pradesh,Tomato,Local Red,118.25,31.19,2821.97,1241.53,1425.35,1405.35,85.54,4.86
Punjab,Potato,Kufri Jyoti,16.22,28.09,2629.93,1617.37,1707.52,1687.52,84.45,4.62
Tamil Nadu,Wheat,HD-2967,60.76,39.71,914.18,1610.43,1720.76,1700.76,76.06,2.05
Punjab,Maize,Hybrid-1,74.57,26.87,862.14,1384.79,1470.9,1450.9,72.87,1.42
Punjab,Onion,Nashik Red,50.58,30.85,2299.63,1318.88,1465.73,1445.73,88.88,1.82
Punjab,Tomato,Local Red,43.77,30.84,1881.14,1364.3,1472.32,1452.32,53.24,4.39
Punjab,Rice,Basmati,113.56,37.93,970.7,1503.33,1597.95,1577.95,67.3,0.94
Bihar,Onion,Nashik Red,65.84,26.24,2252.82,1585.01,1698.06,1678.06,72.9,1.97
Karnataka,Wheat,HD-2967,131.19,39.83,906.1,1520.55,1591,1571,68.4,4.17
Uttar Pradesh,Potato,Kufri Jyoti,120.34,26.12,2330.72,846.65,1045.86,1025.86,82.56,4.67
Bihar,Rice,Basmati,129.43,27.3,662.34,1538.49,1727.11,1707.11,73.12,3.5
Karnataka,Rice,Basmati,128.35,32.26,983.92,1574.47,1733.03,1713.03,88.43,4.54
Karnataka,Rice,Basmati,61.94,38.69,733.59,1261.6,1381.78,1361.78,89.09,4.16
Tamil Nadu,Onion,Nashik Red,124.2,32.13,2665.8,840.52,992.26,972.26,68.5,2.55
Punjab,Tomato,Local Red,122.91,30.26,2872.53,1390.38,1623.29,1603.29,59.78,4.81
Tamil Nadu,Wheat,HD-2967,140.32,38.49,456.28,1752.03,1971.82,1951.82,62.27,4.6
Karnataka,Potato,Kufri Jyoti,48.65,35.01,2319.03,1015.38,1216.21,1196.21,82.81,3.11
Karnataka,Wheat,HD-2967,102.85,39.27,821.03,1673.63,1892.26,1872.26,42.01,4.93
Bihar,Rice,Basmati,12.17,24.9,724.43,1458.89,1638.45,1618.45,45.13,4.37
Punjab,Maize,Hybrid-1,123.37,25.16,876.64,1206.3,1346.6,1326.6,41.34,4.08
Bihar,Rice,Basmati,135.47,31.67,411.27,1271.29,1345.49,1325.49,64.15,2.5
Tamil Nadu,Wheat,HD-2967,123.28,38.78,598.2,1045.45,1165.25,1145.25,63.13,3.06
Bihar,Rice,Basmati,6.96,35.96,954.24,849.92,897.33,877.33,54.53,2.48
Maharashtra,Wheat,HD-2967,16.7,29.21,865.72,852.72,1036.09,1016.09,70.75,3.01
Maharashtra,Onion,Nashik Red,22.32,25.54,2868.85,1713.84,1812.02,1792.02,70.04,1.49
Punjab,Maize,Hybrid-1,100.38,32.76,597.76,1032.29,1125.58,1105.58,73.65,2.33
Uttar Pradesh,Maize,Hybrid-1,131.71,26.8,334.86,1515.03,1624.53,1604.53,71.61,4.19
Karnataka,Onion,Nashik Red,57.6,27.82,2850.52,1188.42,1384.51,1364.51,46.16,3.75
Maharashtra,Potato,Kufri Jyoti,9.52,31.1,2718.14,1542.94,1644.08,1624.08,85.38,4.53
Maharashtra,Rice,Basmati,77.52,38.07,563.65,1740.49,1876.91,1856.91,44.92,1.79
Bihar,Wheat,HD-2967,123.78,27.13,697.86,1024.34,1115.36,1095.36,46.71,2.53
Karnataka,Rice,Basmati,130.66,31.84,717.31,881.91,982.07,962.07,44.58,4.92
Maharashtra,Wheat,HD-2967,73.27,30.23,523.91,1596.1,1687.61,1667.61,74.98,1.49
Tamil Nadu,Potato,Kufri Jyoti,124,27.96,2057.23,1154.97,1327.43,1307.43,91.66,3.29
Uttar Pradesh,Rice,Basmati,74.14,31.99,756.23,996.59,1190.37,1170.37,62.87,3.81
Bihar,Potato,Kufri Jyoti,113.7,29.75,1684.89,1120.9,1260.4,1240.4,46.22,4.51
Maharashtra,Rice,Basmati,126.25,35.07,572,1460.4,1536.81,1516.81,46.66,2.98
Punjab,Potato,Kufri Jyoti,19.34,27.11,1588.29,1371.47,1595.36,1575.36,87.26,3.71
Karnataka,Maize,Hybrid-1,125.32,26.17,500.46,1760.73,1854.85,1834.85,79.18,3.85
Punjab,Onion,Nashik Red,11.73,30.07,1660.88,1223.41,1311.96,1291.96,50.78,4.48
Uttar Pradesh,Wheat,HD-2967,101.04,28.54,979.34,1008.6,1134.3,1114.3,77.9,1.93
Punjab,Potato,Kufri Jyoti,20.45,26.82,1732.9,1399.82,1496.12,1476.12,82.82,3.6
Tamil Nadu,Wheat,HD-2967,21,35.5,1058.17,940.52,1028.94,1008.94,82.04,4.93
Punjab,Onion,Nashik Red,63.02,27.55,2685.54,1460.46,1608.73,1588.73,65.74,4.55
Punjab,Onion,Nashik Red,74.96,38.2,2062.53,1120.59,1287.52,1267.52,65.92,1.21
Punjab,Wheat,HD-2967,59.8,38.14,464.94,1672.04,1752.92,1732.92,56.16,4.89
Bihar,Maize,Hybrid-1,41.15,24.96,743.74,895.43,1049.26,1029.26,86.03,1.76
Karnataka,Wheat,HD-2967,35.05,33.94,623.99,1649,1741.24,1721.24,76.08,2.53
Karnataka,Rice,Basmati,111.25,25.4,674.33,1717.06,1866.68,1846.68,57.05,1.45
Punjab,Maize,Hybrid-1,55.81,31.86,910.92,1145.85,1314.16,1294.16,40.5,1.31
Karnataka,Onion,Nashik Red,111.2,37.48,2605.45,1187.28,1303.89,1283.89,52.66,4.44
Bihar,Maize,Hybrid-1,90.97,31.7,612.84,1716.28,1968.45,1948.45,81.93,2.61
Karnataka,Rice,Basmati,29.56,37.01,486.09,845.77,1019.07,999.07,48.71,4.15
Bihar,Maize,Hybrid-1,12.56,36.24,644.39,1674.92,1762.4,1742.4,70.2,1.1
Maharashtra,Rice,Basmati,29.53,39.91,668.34,1607.25,1848.39,1828.39,40.22,4.34
Tamil Nadu,Tomato,Local Red,31.82,27.83,2144.07,1485.59,1670.53,1650.53,46.05,1.24
Uttar Pradesh,Potato,Kufri Jyoti,125.47,34.7,1755.67,1631.61,1729.42,1709.42,82.83,3.25
Maharashtra,Maize,Hybrid-1,123.43,36.57,1085.33,910.61,1067.36,1047.36,90.29,4.27
Bihar,Wheat,HD-2967,72.36,40.18,967.54,1669.69,1733.03,1713.03,52.63,3.54
Maharashtra,Rice,Basmati,101.93,31.97,604.56,1308.22,1390.63,1370.63,78.13,2.49
Bihar,Onion,Nashik Red,64.44,32.11,2676.65,1623.34,1690.45,1670.45,80.95,4.05
Karnataka,Maize,Hybrid-1,96.47,33.35,680.83,1246.39,1469.65,1449.65,44.45,3.63
Uttar Pradesh,Tomato,Local Red,91.16,25.36,1608.8,821.71,982.45,962.45,83.01,3.33
